epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2184.57,0.56683,0.29864,0.81259,0.95583,0.79175,0.8291,0.62818,0.96653,0.72182,0.9386,0.000713,0.000713,0.000713
67,2224.82,0.56482,0.30492,0.8251,0.94572,0.80488,0.82852,0.63475,0.93291,0.71371,0.92923,0.0006932,0.0006932,0.0006932
68,2298.36,0.53833,0.29217,0.82251,0.93795,0.79878,0.82872,0.63556,0.92769,0.7286,0.92547,0.0006734,0.0006734,0.0006734
69,2351.53,0.56502,0.29358,0.80788,0.93503,0.78982,0.82267,0.62176,0.95424,0.73664,0.93389,0.0006536,0.0006536,0.0006536
70,2378.84,0.55069,0.30056,0.80118,0.90942,0.78659,0.82053,0.61871,0.92893,0.74089,0.92976,0.0006338,0.0006338,0.0006338
71,2397.49,0.55089,0.29185,0.81472,0.9406,0.7622,0.81997,0.62438,0.91955,0.74748,0.93052,0.000614,0.000614,0.000614
72,2414.41,0.54667,0.28382,0.80461,0.94064,0.77296,0.8237,0.62213,0.93454,0.7641,0.93633,0.0005942,0.0005942,0.0005942
73,2437.3,0.55247,0.29365,0.81941,0.94752,0.77067,0.81783,0.61946,0.93512,0.77345,0.93507,0.0005744,0.0005744,0.0005744
74,2452.1,0.54791,0.30007,0.8093,0.94076,0.7746,0.82396,0.63349,0.91485,0.78644,0.93193,0.0005546,0.0005546,0.0005546
75,2476.3,0.53445,0.28684,0.80127,0.93413,0.77822,0.81628,0.62676,0.90141,0.79803,0.92682,0.0005348,0.0005348,0.0005348
76,2500.24,0.52003,0.27839,0.8044,0.9278,0.78659,0.81555,0.62353,0.92224,0.80065,0.94391,0.000515,0.000515,0.000515
77,2516.49,0.53918,0.27828,0.81413,0.93748,0.79268,0.82472,0.62452,0.9256,0.77511,0.94602,0.0004952,0.0004952,0.0004952
78,2534.15,0.49033,0.26647,0.81819,0.94362,0.78659,0.83446,0.63474,0.92672,0.72437,0.94654,0.0004754,0.0004754,0.0004754
79,2564.27,0.5181,0.27459,0.81227,0.91615,0.79878,0.83674,0.64379,0.94154,0.71151,0.95034,0.0004556,0.0004556,0.0004556
80,2594.4,0.50894,0.28086,0.81021,0.98423,0.76119,0.8296,0.62488,0.98455,0.70114,0.9608,0.0004358,0.0004358,0.0004358
81,2624.6,0.52507,0.27798,0.80571,0.98424,0.76174,0.83465,0.63424,0.96383,0.6905,0.95454,0.000416,0.000416,0.000416
82,2651.64,0.484,0.27027,0.80116,0.97832,0.7561,0.83525,0.63731,0.95426,0.70034,0.94795,0.0003962,0.0003962,0.0003962
83,2675.57,0.52434,0.27547,0.80948,0.97626,0.75236,0.83403,0.63734,0.94671,0.69898,0.94748,0.0003764,0.0003764,0.0003764
84,2700.8,0.51303,0.27567,0.80778,0.96539,0.75,0.82597,0.62476,0.96142,0.67788,0.9553,0.0003566,0.0003566,0.0003566
85,2724.65,0.5011,0.27419,0.80634,0.94027,0.76792,0.82772,0.62632,0.95705,0.67812,0.95956,0.0003368,0.0003368,0.0003368
86,2746.62,0.50152,0.27089,0.80659,0.92111,0.7832,0.82854,0.62697,0.954,0.68276,0.96137,0.000317,0.000317,0.000317
87,2768.33,0.49059,0.26636,0.81018,0.92708,0.77522,0.83372,0.63123,0.96159,0.68272,0.96851,0.0002972,0.0002972,0.0002972
88,2792.01,0.50683,0.26992,0.80177,0.92093,0.77439,0.82685,0.62446,0.98757,0.69165,0.98056,0.0002774,0.0002774,0.0002774
89,2814.07,0.50174,0.26094,0.80069,0.92017,0.78049,0.82302,0.61679,0.99708,0.69355,0.98142,0.0002576,0.0002576,0.0002576
90,2831.26,0.47087,0.25729,0.7992,0.91447,0.77439,0.82214,0.61654,0.98948,0.69867,0.97686,0.0002378,0.0002378,0.0002378
91,2861.38,0.47579,0.27344,0.79931,0.92025,0.77393,0.82184,0.62154,0.96322,0.70093,0.96824,0.000218,0.000218,0.000218
92,2879.1,0.44997,0.24492,0.82347,0.91297,0.78049,0.82311,0.62718,0.9439,0.68696,0.96073,0.0001982,0.0001982,0.0001982
93,2900.96,0.46851,0.26095,0.80941,0.91425,0.78015,0.82261,0.62506,0.93712,0.68386,0.95575,0.0001784,0.0001784,0.0001784
94,2916.79,0.48816,0.2634,0.81796,0.91417,0.77934,0.8234,0.62718,0.93641,0.69723,0.95471,0.0001586,0.0001586,0.0001586
95,2935.54,0.46444,0.26181,0.7966,0.92067,0.76829,0.82281,0.6267,0.9365,0.70639,0.95431,0.0001388,0.0001388,0.0001388
96,2954.32,0.43345,0.24203,0.80696,0.93105,0.77439,0.83191,0.62737,0.93029,0.6913,0.94999,0.000119,0.000119,0.000119
97,2968.12,0.45411,0.25449,0.78651,0.93246,0.78659,0.83364,0.62851,0.93273,0.69246,0.95103,9.92e-05,9.92e-05,9.92e-05
98,2984.16,0.44392,0.24125,0.80786,0.93492,0.78842,0.83263,0.62326,0.92967,0.6899,0.94786,7.94e-05,7.94e-05,7.94e-05
99,3000.86,0.40688,0.22952,0.77811,0.93902,0.78659,0.83152,0.62215,0.9318,0.69682,0.95067,5.96e-05,5.96e-05,5.96e-05
100,3016.65,0.39746,0.22893,0.78122,0.92647,0.78659,0.83009,0.62292,0.93675,0.69859,0.95225,3.98e-05,3.98e-05,3.98e-05
